               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.01924,           0.0069283,          0.00050643,             0.84303,             0.78273,             0.77682,             0.55724,            0.032172,           0.0084791,            0.013275,           0.0015566,           0.0015566,           0.0015566
                  86,             0.01951,           0.0069612,          0.00044407,             0.83764,               0.786,             0.76664,             0.54907,            0.032145,           0.0086679,             0.01366,           0.0014905,           0.0014905,           0.0014905
                  87,             0.01858,           0.0066036,          0.00050116,             0.84949,             0.77448,             0.77409,             0.54384,            0.032449,           0.0088252,            0.014093,           0.0014283,           0.0014283,           0.0014283
                  88,               0.019,           0.0067546,          0.00037197,             0.86437,              0.7638,             0.76725,             0.54033,            0.032675,           0.0090611,            0.013718,           0.0013701,           0.0013701,           0.0013701
                  89,            0.018865,           0.0065568,          0.00051127,             0.86206,             0.75211,             0.76473,             0.53348,            0.032982,           0.0092379,            0.013823,            0.001316,            0.001316,            0.001316
                  90,            0.018543,           0.0070486,          0.00048256,             0.84985,              0.7522,             0.75655,             0.52568,            0.033728,           0.0093607,            0.014568,            0.001266,            0.001266,            0.001266
                  91,            0.018143,           0.0065124,          0.00034063,             0.85231,              0.7522,             0.76132,             0.53969,            0.033345,           0.0094199,            0.013651,           0.0012202,           0.0012202,           0.0012202
                  92,            0.018429,           0.0069008,          0.00048732,             0.83138,             0.76499,             0.76302,             0.54555,            0.032043,            0.009248,            0.012684,           0.0011787,           0.0011787,           0.0011787
                  93,            0.018059,           0.0068412,          0.00067774,             0.81176,             0.78273,             0.76981,             0.55142,            0.031643,           0.0089704,            0.012297,           0.0011414,           0.0011414,           0.0011414
                  94,            0.018751,           0.0070598,          0.00045288,             0.82867,             0.79475,             0.77953,             0.55419,            0.031737,           0.0087759,              0.0126,           0.0011084,           0.0011084,           0.0011084
                  95,            0.018341,           0.0068424,          0.00076456,             0.84405,             0.78273,              0.7799,             0.54958,              0.0316,            0.008731,            0.012277,           0.0010797,           0.0010797,           0.0010797
                  96,            0.018405,           0.0067486,          0.00040647,             0.83099,             0.78877,             0.77828,             0.55295,            0.031999,           0.0085392,            0.012925,           0.0010554,           0.0010554,           0.0010554
                  97,            0.018101,           0.0065404,          0.00057366,             0.84127,             0.74327,             0.75262,             0.53993,            0.032888,           0.0086106,            0.014025,           0.0010355,           0.0010355,           0.0010355
                  98,            0.018295,           0.0067021,          0.00037787,             0.85046,             0.75194,             0.75071,             0.54208,            0.032533,           0.0088103,            0.013944,             0.00102,             0.00102,             0.00102
                  99,            0.018093,           0.0066133,           0.0004096,             0.83495,             0.74003,             0.74943,             0.53575,            0.032503,           0.0088553,            0.013651,           0.0010089,           0.0010089,           0.0010089
